experiment;rhofrac;hr_inch;hr;qdqc;qc;q;lam;Fr;D_inch;D
-;-;inch;m;-;m2/s;m2/s;-;-;inch;m
11-1;0.0031;2.03;0.05156199999999999;0.42;0.0011114069130888733;0.0004667909034973268;0.02;0.22861904265976327;1.5;0.038099999999999995
11-2;0.0031;2.16;0.054864;0.62;0.0012198590813342707;0.0007563126304272478;0.02;0.33748525345012664;1.5;0.038099999999999995
11-3;0.0031;2.41;0.061214000000000005;0.71;0.0014376547408150862;0.0010207348659787112;0.02;0.3864750483057904;1.5;0.038099999999999995
11-4;0.003;2.85;0.07239;0.82;0.0018187629868274973;0.0014913856491985478;0.02;0.4463514642404902;1.5;0.038099999999999995
11-5;0.003;3.14;0.079756;0.84;0.002103310013827548;0.0017667804116151403;0.02;0.4572380853195265;1.5;0.038099999999999995
11-6;0.003;3.72;0.094488;0.89;0.0027122094649731994;0.0024138664238261475;0.02;0.48445463801711736;1.5;0.038099999999999995
11-7;0.0029;4.65;0.11811;0.9;0.0037267187491249157;0.003354046874212424;0.02;0.4898979485566356;1.5;0.038099999999999995
11-8;0.0029;5.83;0.148082;0.9;0.005231786599264994;0.004708607939338495;0.02;0.48989794855663565;1.5;0.038099999999999995
12-1;0.0029;2.63;0.066802;0.78;0.001585188130269063;0.0012364467416098692;0.02;0.4245782220824176;1.5;0.038099999999999995
12-2;0.0029;3.4;0.08635999999999999;0.85;0.00233005173830077;0.0019805439775556545;0.02;0.46268139585904466;1.5;0.038099999999999995
12-3;0.0029;4.36;0.11074400000000001;0.85;0.0033835836903121073;0.002876046136765291;0.02;0.46268139585904466;1.5;0.038099999999999995
12-4;0.0028;5.4;0.13716;0.87;0.004582662199977706;0.003986916113980604;0.02;0.47356801693808087;1.5;0.038099999999999995
12-5;0.0027;7.2;0.18288;0.85;0.006928334013575518;0.00588908391153919;0.02;0.4626813958590447;1.5;0.038099999999999995
12-6;0.0023;1.83;0.046482;0.46;0.0008193863835680375;0.00037691773644129726;0.02;0.25039228481783593;1.5;0.038099999999999995
12-7;0.0023;2.21;0.056133999999999996;0.73;0.0010874280179976462;0.0007938224531382817;0.02;0.39736166938482653;1.5;0.038099999999999995
