experiment;D;rhofrac;hr_cm;hr;am_cm;am;Q_1000;Q;q;Q1_1000;Q1;q1;lam;Fr;G
-;m;-;cm;m;cm;m;10^-3 m3/s;m3/s;m2/s;10^-3 m3/s;m3/s;m2/s;-;-;m-1
1;0.031;0.018;4.9;0.049;4.1;0.040999999999999995;1;0.001;0.0014925373134328358;0;0;0;0;0.3274615559126604;42.956646768638564
2;0.031;0.018;4.05;0.0405;3.25;0.0325;1;0.001;0.0014925373134328358;0.1;0.0001;0.00014925373134328358;0.1;0.4357846274895078;42.956646768638564
3;0.031;0.018;3.45;0.0345;3.1;0.031;1;0.001;0.0014925373134328358;0.2;0.0002;0.00029850746268656717;0.2;0.5542756481088355;42.956646768638564
4;0.031;0.018;3.05;0.0305;2.7;0.027000000000000003;1;0.001;0.0014925373134328358;0.3;0.0003;0.0004477611940298507;0.3;0.6668139579557532;42.956646768638564
5;0.031;0.018;2.6;0.026000000000000002;2.2;0.022000000000000002;1;0.001;0.0014925373134328358;0.5;0.0005;0.0007462686567164179;0.5;0.8472165269196563;42.956646768638564
6;0.031;0.018;6.5;0.065;5.65;0.0565;2;0.002;0.0029850746268656717;0;0;0;0;0.4286614234245555;27.060991748353157
7;0.031;0.019;6.75;0.0675;5.4;0.054000000000000006;2;0.002;0.0029850746268656717;0;0;0;0;0.39426500389842933;27.55311728082727
8;0.031;0.019;8.65;0.08650000000000001;6.95;0.0695;3;0.003;0.004477611940298507;0;0;0;0;0.40767209638737223;21.026963852070217
9;0.031;0.019;7.3;0.073;5.45;0.0545;3;0.003;0.004477611940298507;0.3;0.0003;0.0004477611940298507;0.09999999999999999;0.5258366562885884;21.026963852070217
10;0.031;0.019;6.9;0.069;5.15;0.051500000000000004;3;0.003;0.004477611940298507;0.6;0.0006;0.0008955223880597014;0.19999999999999998;0.5722179955986137;21.026963852070217
11;0.031;0.018;6.4;0.064;4.75;0.0475;3;0.003;0.004477611940298507;0.9;0.0009;0.0013432835820895521;0.3;0.6581209785822804;20.651401781305378
12;0.031;0.018;5.25;0.0525;4.05;0.0405;3;0.003;0.004477611940298507;1.5;0.0015;0.0022388059701492534;0.5;0.8858021716364314;20.651401781305378
13;0.031;0.018;12;0.12;10;0.1;5;0.005;0.007462686567164179;0;0;0;0;0.42722098434001693;14.690966544851843
14;0.031;0.019;11.65;0.1165;9.7;0.09699999999999999;5;0.005;0.007462686567164179;0;0;0;0;0.4347053742816003;14.958133387836618
15;0.031;0.019;9.9;0.099;7.2;0.07200000000000001;5;0.005;0.007462686567164179;0.5;0.0005;0.0007462686567164179;0.1;0.5549209301628077;14.958133387836618
16;0.031;0.018;9.25;0.0925;6.85;0.06849999999999999;5;0.005;0.007462686567164179;1;0.001;0.0014925373134328358;0.2;0.6312651968270221;14.690966544851843
17;0.031;0.018;8.55;0.0855;6.2;0.062;5;0.005;0.007462686567164179;1.5;0.0015;0.0022388059701492534;0.3;0.7103547245724736;14.690966544851843
18;0.031;0.017;7.25;0.0725;5.65;0.0565;5;0.005;0.007462686567164179;2.5;0.0025;0.0037313432835820895;0.5;0.9361150498101445;14.413712054621207
19;0.031;0.017;13.65;0.1365;11.1;0.111;6;0.006;0.008955223880597014;0;0;0;0;0.4348290055137168;12.764045523811607
20;0.031;0.017;14.75;0.1475;11.95;0.1195;7;0.007;0.010447761194029851;0;0;0;0;0.45162319877060203;11.517471635607196
21;0.031;0.019;14.45;0.1445;12.4;0.124;7;0.007;0.010447761194029851;0;0;0;0;0.44056517262854067;11.952498867965263
22;0.031;0.019;12.5;0.125;9.3;0.09300000000000001;7;0.007;0.010447761194029851;0.7;0.0007;0.001044776119402985;0.09999999999999999;0.5475791630539536;11.952498867965263
23;0.031;0.019;11.5;0.115;8.55;0.0855;7;0.007;0.010447761194029851;1.4;0.0014;0.00208955223880597;0.19999999999999998;0.6205334148590138;11.952498867965263
24;0.031;0.018;10.85;0.1085;8.45;0.08449999999999999;7;0.007;0.010447761194029851;2.1;0.0021000000000000003;0.0031343283582089556;0.30000000000000004;0.6956773661023704;11.739015587295357
25;0.031;0.018;9.2;0.092;5.7;0.057;7;0.007;0.010447761194029851;3.5;0.0035;0.0052238805970149255;0.5;0.8909857127830909;11.739015587295357
26;0.031;0.017;16.6;0.166;13.75;0.1375;8;0.008;0.011940298507462687;0;0;0;0;0.4323088117541215;10.536487430301253
27;0.031;0.019;16.1;0.161;13.6;0.136;8;0.008;0.011940298507462687;0;0;0;0;0.4281195557300499;10.934461839147092
28;0.061;0.019;6.7;0.067;6.4;0.064;1;0.001;0.0014925373134328358;0;0;0;0;0.19934332094510737;43.737847356588375
29;0.061;0.019;5.75;0.0575;5.6;0.055999999999999994;1;0.001;0.0014925373134328358;0.1;0.0001;0.00014925373134328358;0.1;0.25073336319980216;43.737847356588375
30;0.061;0.019;5.35;0.0535;5.2;0.052000000000000005;1;0.001;0.0014925373134328358;0.2;0.0002;0.00029850746268656717;0.2;0.27937222078259866;43.737847356588375
31;0.061;0.019;4.9;0.049;4.8;0.048;1;0.001;0.0014925373134328358;0.3;0.0003;0.0004477611940298507;0.3;0.3187276737950545;43.737847356588375
32;0.061;0.019;4;0.04;3.9;0.039;1;0.001;0.0014925373134328358;0.5;0.0005;0.0007462686567164179;0.5;0.43213944133025084;43.737847356588375
33;0.061;0.019;7.4;0.07400000000000001;6.2;0.062;2;0.002;0.0029850746268656717;0;0;0;0;0.34347593086426975;27.55311728082727
34;0.061;0.019;8.75;0.0875;;;3;0.003;0.004477611940298507;0;0;0;0;0.4007034376882458;21.026963852070217
35;0.061;0.02;8.6;0.086;7.25;0.0725;3;0.003;0.004477611940298507;0;0;0;0;0.40081989841552423;21.389568969461827
36;0.061;0.02;7.35;0.0735;5.8;0.057999999999999996;3;0.003;0.004477611940298507;0.3;0.0003;0.0004477611940298507;0.09999999999999999;0.507301261029161;21.389568969461827
37;0.061;0.02;6.7;0.067;5;0.05;3;0.003;0.004477611940298507;0.6;0.0006;0.0008955223880597014;0.19999999999999998;0.5828875059789632;21.389568969461827
38;0.061;0.02;6.2;0.062;4.55;0.0455;3;0.003;0.004477611940298507;0.9;0.0009;0.0013432835820895521;0.3;0.6548011240301606;21.389568969461827
39;0.061;0.02;5.05;0.050499999999999996;3.75;0.0375;3;0.003;0.004477611940298507;1.5;0.0015;0.0022388059701492534;0.5;0.8907583114096482;21.389568969461827
40;0.061;0.019;11.75;0.1175;9.75;0.0975;5;0.005;0.007462686567164179;0;0;0;0;0.4291677680717749;14.958133387836618
41;0.061;0.019;11.85;0.1185;10.1;0.10099999999999999;5;0.005;0.007462686567164179;0;0;0;0;0.4237467418268303;14.958133387836618
42;0.061;0.019;9.8;0.098;7.2;0.07200000000000001;5;0.005;0.007462686567164179;0.5;0.0005;0.0007462686567164179;0.1;0.5634362487307423;14.958133387836618
43;0.061;0.019;9.1;0.091;6.5;0.065;5;0.005;0.007462686567164179;1;0.001;0.0014925373134328358;0.2;0.6296827687179721;14.958133387836618
44;0.061;0.019;8.25;0.0825;6;0.06;5;0.005;0.007462686567164179;1.5;0.0015;0.0022388059701492534;0.3;0.7294625065966048;14.958133387836618
45;0.061;0.019;6.6;0.066;5.2;0.052000000000000005;5;0.005;0.007462686567164179;2.5;0.0025;0.0037313432835820895;0.5;1.0194548448671232;14.958133387836618
46;0.061;0.019;14.15;0.14150000000000001;11.4;0.114;7;0.007;0.010447761194029851;0;0;0;0;0.4546500815860388;11.952498867965263
47;0.061;0.019;15.8;0.158;13.3;0.133;7.8;0.0078;0.011641791044776119;0;0;0;0;0.4293612685357175;11.12058590849042
48;0.031;0.019;4.25;0.0425;3.8;0.038;0.8;0.0008;0.0011940298507462687;0;0;0;0;0.31566067804125103;50.7532759741502
